	DO-01_S234	DO-101_S223	DO-102_S255	DO-105_S217	DO-107_S233	DO-10_S245	DO-110_S207	DO-113_S242	DO-114_S208	DO-115_S209	DO-116_S206	DO-11_S254	DO-12_S204	DO-13_S253	DO-14_S213	DO-152_S231	DO-152-star_S236	DO-153_S233	DO-154_S211	DO-154_S218	DO-156_S235	DO-157_S216	DO-158_S230	DO-159_S221	DO-15_S214	DO-15_S251	DO-161_S243	DO-162_S219	DO-16_S215	DO-17_S203	DO-18_S235	DO-19_S249	DO-200_S225	DO-202_S224	DO-203_S195	DO-206_S194	DO-209_S192	DO-20_S202	DO-211_S193	DO-21_S200	DO-23_S246	DO-28_S227	DO-2_S252	DO-30_S197	DO-31_S198	DO-35_S209	DO-35_S229	DO-37_S236	DO-39_S205	DO-3_S201	DO-44_S232	DO-46_S234	DO-47_S218	DO-48_S237	DO-49_S239	DO-50_S213	DO-51_S238	DO-53_S230	DO-54_S232	DO-55_S205	DO-55_S244	DO-58_S196	DO-59_S229	DO-5_S241	DO-60_S228	DO-61_S226	DO-63_S231	DO-68_S219	DO-69_S226	DO-6_S250	DO-70_S210	DO-71_S220	DO-72_S211	DO-73_S199	DO-74_S217	DO-77_S220	DO-78_S208	DO-79_S228	DO-7_S222	DO-81_S227	DO-83_S248	DO-84_S221	DO-85_S225	DO-86_S216	DO-87_S224	DO-88_S212	DO-8_S247	DO-93_S223	DO-98_S210	DO-98_S215	DO-99_S240	DO-a_S214	DO-ne-35_S212	DO-ne-45_S206	DO-np-35_S222	DO-np-45_S207	ASV
ASV_5	0	0	0	1	0	0	0	0	1	0	0	0	0	8	1923	0	0	2	0	0	0	25	0	0	2057	0	0	0	2668	0	51	0	562	558	1330	690	141	0	184	0	0	0	22	0	0	23	6	0	0	0	0	0	0	0	3	0	0	0	0	0	4	2	0	25	6	1	2	0	37	0	2	0	6	0	0	0	1	0	0	3	0	65	0	0	2	1	0	109	0	0	0	0	0	0	21	0	ASV_5
ASV_6	251	0	6	0	0	5	48	8	13	0	69	8	68	25	0	893	572	54	9	0	59	0	303	0	0	82	15	1	0	50	248	42	0	0	0	0	0	164	0	37	0	1373	0	180	6	0	3	54	6	238	752	44	0	0	0	12	0	0	197	0	0	217	955	1	0	0	4	0	72	1	7	0	0	0	9	0	0	359	2	10	60	0	517	0	0	1	0	130	5	0	0	13	0	0	0	0	ASV_6
ASV_7	0	82	3	0	0	53	525	52	191	517	682	38	294	25	0	0	0	17	0	9	21	0	0	19	0	222	4	84	0	270	0	275	0	1	3	0	0	22	1	141	242	0	73	125	441	0	31	79	371	99	0	14	0	0	7	10	26	3	20	0	7	307	0	44	7	3	4	0	0	163	40	0	120	152	4	49	0	0	7	4	83	0	0	1	0	19	76	0	0	97	4	11	0	0	0	0	ASV_7
ASV_8	381	3	0	0	0	71	0	0	0	0	0	28	0	41	6	455	299	34	0	5	19	0	0	10	3	40	7	0	0	0	399	13	3	0	0	0	0	109	0	166	5	41	0	0	0	0	0	32	58	171	178	82	0	0	0	16	0	0	264	0	0	325	482	0	0	4	0	0	404	0	0	0	0	35	0	0	0	114	6	0	0	0	287	0	3	0	0	417	0	0	0	7	0	0	0	0	ASV_8
ASV_9	1168	0	1	0	2	0	252	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1470	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	ASV_9
ASV_11	428	10	7	0	1	50	0	6	9	0	0	6	25	30	20	0	0	0	0	0	25	0	0	0	41	0	0	9	34	5	351	10	20	7	11	0	3	10	0	259	0	766	0	0	0	0	0	0	62	328	0	0	0	6	2	0	8	6	34	0	0	312	160	0	9	0	0	0	111	0	1	0	0	0	7	0	0	62	3	0	0	0	0	8	4	4	1	485	15	0	14	12	0	0	0	0	ASV_11
ASV_14	41	3	0	0	0	19	59	153	65	110	440	0	11	0	0	0	0	0	0	11	0	0	0	9	0	7	0	0	0	320	0	0	0	0	0	0	0	4	2	0	0	271	0	0	623	0	0	0	50	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	112	0	0	0	49	0	0	0	0	854	0	5	0	0	0	7	0	13	4	0	0	0	0	ASV_14
ASV_15	427	20	0	0	1	0	123	133	55	0	61	35	6	4	0	0	0	0	3	0	0	0	0	0	0	52	11	0	0	0	78	164	0	0	0	0	0	4	0	30	0	36	0	0	0	0	0	0	68	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	4	0	0	7	0	0	0	0	0	0	28	0	122	0	0	227	0	939	2	0	0	34	137	0	2	8	20	0	0	0	0	ASV_15
ASV_16	0	0	0	3	10	0	0	1	0	0	0	0	0	7	387	3	0	0	0	0	0	6	0	0	450	0	0	0	385	0	77	0	95	88	258	160	50	0	56	35	0	0	18	0	0	18	11	0	0	0	0	0	2	2	0	0	0	0	2	0	2	0	0	19	0	2	0	0	22	0	1	0	0	0	0	0	0	0	0	0	0	6	0	0	90	0	0	182	0	0	0	0	0	0	3	0	ASV_16
ASV_17	1	0	0	0	0	0	0	0	0	0	0	0	0	0	11	1	0	0	0	0	0	0	1428	0	0	0	0	0	8	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	276	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	461	0	0	0	0	53	13	0	0	0	0	0	0	0	ASV_17
