	DO-101_GC04_136	DO-102_GC06_111	DO-10_GC06_81	DO-110_GC06_156	DO-113_GC04_156	DO-114_GC06_166	DO-115_GC06_171	DO-116_GC06_146	DO-11_GC06_71	DO-12_GC06_121	DO-13_GC06_41	DO-153_GC02_63.5	DO-156_GC02_90.5	DO-159_GC04_206	DO-161_GC04_171	DO-162_GC04_191	DO-17_GC06_186	DO-19_GC06_176	DO-200_MC01_23	DO-202_MC01_18	DO-203_MC01_12	DO-206_MC01_8	DO-209_MC01_2	DO-20_GC06_101	DO-211_MC01_4	DO-21_GC06_51	DO-23_GC06_91	DO-2_GC06_21	DO-30_GC02_114.5	DO-31_GC04_201	DO-37_GC02_99.5	DO-39_GC06_131	DO-3_GC06_61	DO-46_GC02_84.5	DO-48_GC02_105.5	DO-49_GC02_126.5	DO-50_GC04_86	DO-51_GC02_111.5	DO-53_GC02_45.5	DO-54_GC02_57.5	DO-58_GC02_72.5	DO-5_GC06_31	DO-60_GC02_81.5	DO-61_GC02_18.5	DO-63_GC02_51.5	DO-6_GC06_181	DO-70_GC02_6.5	DO-72_GC02_39.5	DO-73_GC04_186	DO-74_GC04_166	DO-77_GC04_196	DO-7_GC06_16	DO-81_GC02_21.5	DO-83_GC06_161	DO-86_GC04_146	DO-88_GC04_71	DO-8_GC06_141	DO-99_GC04_106	DO-a_GC04_96	DO-01_GC06_126	DO-105_GC04_26	DO-107_GC02_15.5	DO-14_MC01_27	DO-152_GC02_60.5	DO-152_GC02_93.5	DO-154_GC04_176	DO-157_GC04_16	DO-158_GC02_117.5	DO-15_MC01_31	DO-16_MC01_36	DO-18_GC06_56	DO-28_GC04_76	DO-35_GC02_36.5	DO-44_GC02_96.5	DO-47_GC04_41	DO-55_GC06_11	DO-59_GC02_87.5	DO-68_GC04_51	DO-69_GC04_46	DO-71_GC04_61	DO-78_GC02_9.5	DO-79_GC04_66	DO-84_GC04_11	DO-85_GC04_126	DO-87_GC02_12.5	DO-93_GC04_31	DO-98_GC04_116
ASV_5	0	0	0	0	0	0	0	0	0.283052604953404	0	0	0	3.82431911735539	11.0714474834723	0	2.00185438070601	0	0	0	6.03677232582398	0	0	10.9839418791127	0	0	0	11.0710623571366	0	4.51931854691849	0	10.0189669278434	10.7389690339464	9.8434375115109	7.8509533474331	0	8.08625348972043	0	0	0	4.70461220259752	0	3.63103602724278	3.67441199963564	0	0	0	0	0	0	0	2.93443369183036	0	0	0	0	0	2.78149411475382	0	5.05728553216327	3.85057178755555	0.932921941199596	2.4043751951502	0	3.64663612981161	0	1.78716693305112	0	2.88765452637262	0	0	0	0	0	0	2.98837160144994	0	4.99316157123329	0	0	0	1.39484977634459	0	4.95955672061236	0	0	0	0
ASV_6	5.36186060869764	0	4.23492063434344	0	0	3.14689697510543	4.92079104452933	3.41440843105148	3.97182665248495	0	5.39965226464154	3.93292242627	5.46743837830209	0	7.02266929017086	6.75304874066348	4.70935694711621	0	7.28421553532288	0	4.3265706761334	0	0	6.36991781884683	5.29042428247917	0.837585471424099	0	5.53147705303242	6.80055773588662	5.22745666527172	0	0	0	0	7.4523801349868	0	4.89121349144165	0	7.53773468277612	0	2.1596682822202	0	2.67561312371812	6.74327739379177	1.78783725320497	7.83088554155261	6.65494449824848	6.56701186928586	0	0	0	4.98692063860294	0	0	8.64544853517735	0	0	6.96854240388685	0.424429825369725	0	0	3.40292568954624	0	4.60651198434	0.0355260395602703	3.59134441835142	0	0	0	4.22926750101796	0	0	6.53615417994459	1.82756355333267	4.7239830317392	5.96073420777259	0	5.40344647837974	0	0	1.39484977634459	0	5.21366052094414	2.82854171361081	0	0	4.52434208990368
ASV_7	0	7.33663789238026	3.23573534501998	0	0	6.55131934559983	8.37154165682415	6.11362967462297	7.84790384724193	7.80323796229007	8.70442885864611	6.1800563682362	5.46743837830209	0	0	5.08593377844739	0	4.50564045459883	5.79406810148825	0	0	5.10092840341898	0	7.80666462681939	3.38461164540146	7.22140262423342	0	7.9641660161199	0	7.93807986120928	0.903051751574035	1.95068606123996	0	0	4.55482531458943	0.572973220281336	6.82092991307973	8.64128861333588	0	6.43459383184442	8.35594967219337	0	6.04267606736659	7.29212529568599	7.73377296329655	6.5655190579526	0	4.91528204621416	0	0	4.15567871456581	4.7239830317392	5.6182322252736	2.69987437685894	5.34566402145494	0	3.5878924197137	0	5.87266187994777	4.07281222881457	2.51252377557467	3.40292568954624	0	0	7.36933003282187	6.10486673029568	0	7.2076114069464	7.15961974949355	3.06036477482834	6.02791337281981	0	0	3.63182878466386	3.40292568954624	6.42881474418443	0	0	1.40726767429296	0	5.63724193313331	6.8748974033993	0	0	7.77454938206677	2.96346923948639	4.28345524410356
ASV_8	5.96383687485913	2.56654601629383	0	0	0	6.97310451481184	0	0	0	0	0	5.73955938329923	6.18099879906734	2.74954342907362	6.08690741384928	6.08570779193466	0	3.65818390596832	5.64970731192934	0	0	4.17533142383412	1.56775391257963	5.33448877202677	4.19133673838713	0	0	0	7.48655424568629	3.53649247133591	0	0	0	0	6.86305668048803	0	7.0563975436083	3.0461741046511	2.47485097429799	0	0	0	0	5.98848839436163	5.05686768800119	7.35394670987463	4.57658017571679	7.46505722389103	0	0	0	5.4018371254691	0	0	9.06778110590215	0	0	5.98219509246879	0	0	2.92688908793133	0	0	7.09428058622985	0	0	0	0	5.04133409930763	0	0	0	4.88155956712745	3.40964265161835	0	0	0	4.55462352056813	0	0	0	0	6.89491155491817	0	0	0	3.63182878466386
ASV_9	7.57984852177308	0	1.65402480717973	0	0	0	7.31269817968664	0	0	0	0	1.93593204286057	0	0	0	0	0	0	0	0	0	1.85679500721843	0	0	0	0	0	1.47776854170657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.6882920343653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.5752076198021	0	0	0	0	0	6.38191067589823	0	0	0	0	0
ASV_11	6.13162966669331	4.30169752268413	4.45719661209739	0	0	6.46726490120536	0	2.99985051351129	3.44174652739611	0	0	3.51821979404947	5.73041496191332	4.4849110545104	0	0	0	0	6.04556260473582	0	0	0	5.33554043156606	0	0	3.9998670417906	4.77753488082684	2.21253109068183	7.30164823525186	3.15837748257906	3.70336446877564	3.8222665974858	0	2.29941824981605	3.41810506759174	0	7.69812498701374	0	6.69588481766155	0	0	0	0	0	5.15305325340239	8.29360128253582	0	0	0	3.9874045360756	2.35047404376099	0	3.91849536665185	3.69869327862696	6.11104332512077	0	0	4.39172241013732	0	4.43517963073925	0	0	0	5.2307814650429	0	0.791597802418097	0	0	0	3.86693118033359	0	0	4.00330246664445	2.41108543264707	0	0	0	0	4.40220011704521	0	3.39047024750522	0.636729574530327	7.11283083328637	4.41206348981926	0	4.76941828200992	4.40892044899515
ASV_14	2.74977898012099	2.56654601629383	0	0	0	5.07161925033495	5.21837711571877	7.6704314494699	6.29297198737276	5.57083146280242	8.07218088296207	0	0	0	0	0	0	4.7950242208323	0	0	0	4.0234227052811	0	2.82170728219383	0	0	0	8.20926890871623	0	0	0	0	0	0	2.09832770186603	1.56781800729621	0	0	5.19710369692405	0	8.85438949178471	0	0	0	4.84281665832623	5.58017744421381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0355260395602703	0	0	0	6.71908550277701	0	0	0	3.66406985199193	0	0	0	0	6.12737514831038	0	0.0800555897136689	0	0	0	3.31335135157099	0	4.66254636657451	2.82540181181383
ASV_15	6.1282554526356	5.30130834415688	0	0	0	0	6.27803402523979	7.46833737365463	6.05199948169117	0	5.22191283083462	6.06143001782736	2.82540181181383	0	0	0	3.12556709370531	0	0	0	0	0	0	5.71291260478952	4.84310791480056	0	0	0	5.13206372786869	7.19238642250673	0	0	0	0	2.09832770186603	0	4.58877139657517	0	2.28760706868547	0	0	0	0	0	5.28628172060568	0	0	0	0	0	0	3.9874045360756	0	0	0	0	0	0	0	0	2.92688908793133	0	0	1.24977439019161	0	0	0	0	0	0	5.22073487223248	0	4.97937274673137	0	0	7.88021076396472	0	6.2642443594184	2.4043751951502	0	0	5.71459428309032	5.28930365598938	0	2.17796090011529	3.9624853395717	5.14559701023174
ASV_16	0	0	0	1.46398544287525	0	0	0	0.424429825369725	0	0	0	0	3.63182878466386	8.758522505098	0	0	0	0	0	3.9786187508565	0	0	8.79142405931345	0	0	0	8.27827635327094	0	5.11345373410792	0	7.35435625404592	8.373023080701	7.73496840491728	6.3553791916038	0	6.37017555612169	4.81107269725639	0	0	4.41523637949076	0	3.27774305072625	4.54833465595913	0	0	0	0	0	1.01450027096829	2.4043751951502	0	0	0	0	2.02712720156196	0	1.78372253036929	0	4.66150241813113	0	1.92890424193551	0	0	2.8974494029441	0	0.791597802418097	0	0	0	0	0	0	0	0	0	0	1.56048360857615	0	0	4.23623582305649	0	0	5.69896915931541	0	0	0	0
ASV_17	0	0	0	0	0	0	0	0	0	0	0	0	0	3.62297520716601	0	0	0	0	0	0	6.56257416697044	0	0	0	0	0	2.6918890431648	0	4.05659977198333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.2091427826634	5.19530019837886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.23809300106389	0	0	0	0	3.91981391681826	4.20572351394498	0	0	0
