	domain	phylum	class	order	family	genus	species	ASV
ASV_5	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales_5	Hyphomicrobiaceae	unclassified_Hyphomicrobiaceae	unclassified_Hyphomicrobiaceae	ASV_5
ASV_6	Bacteria	Caldatribacteriota	JS1	JS1	JS1	JS1	JS1	ASV_6
ASV_7	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae_1	Prauserella_1	Prauserella_1	ASV_7
ASV_8	Bacteria	Caldatribacteriota	JS1	JS1	JS1	JS1	JS1	ASV_8
ASV_9	Archaea	Crenarchaeota	Bathyarchaeia	Bathyarchaeia	Bathyarchaeia	Bathyarchaeia	Bathyarchaeia	ASV_9
ASV_10	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	ASV_10
ASV_11	Bacteria	Caldatribacteriota	JS1	JS1	JS1	JS1	JS1	ASV_11
ASV_13	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	ASV_13
ASV_14	Bacteria	Aerophobota	Aerophobia	Aerophobales	Aerophobales	Aerophobales	Aerophobales	ASV_14
ASV_15	Bacteria	Aerophobota	Aerophobia	Aerophobales	Aerophobales	Aerophobales	Aerophobales	ASV_15
ASV_16	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales_5	Hyphomicrobiaceae	uncultured	uncultured	ASV_16
ASV_17	Archaea	Crenarchaeota	Bathyarchaeia	Bathyarchaeia	Bathyarchaeia	Bathyarchaeia	Bathyarchaeia	ASV_17
ASV_18	Bacteria	Firmicutes	Bacilli	Bacillales_14	Marinococcaceae	unclassified_Marinococcaceae	unclassified_Marinococcaceae	ASV_18
ASV_20	Bacteria	Caldatribacteriota	JS1	JS1	JS1	JS1	JS1	ASV_20
ASV_21	Bacteria	Caldatribacteriota	JS1	JS1	JS1	JS1	JS1	ASV_21
ASV_22	Archaea	Asgardarchaeota	Lokiarchaeia	Lokiarchaeia	Lokiarchaeia	Lokiarchaeia	Lokiarchaeia	ASV_22
ASV_23	Bacteria	Chloroflexi	Dehalococcoidia	DscP2	DscP2	DscP2	DscP2	ASV_23
ASV_24	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales_5	Hyphomicrobiaceae	uncultured	uncultured	ASV_24
ASV_25	Bacteria	Caldatribacteriota	JS1	JS1	JS1	JS1	JS1	ASV_25
ASV_26	Bacteria	Actinobacteriota	WCHB1-81	WCHB1-81	WCHB1-81	WCHB1-81	WCHB1-81	ASV_26
ASV_27	Bacteria	BHI80-139	BHI80-139	BHI80-139	BHI80-139	BHI80-139	BHI80-139	ASV_27
ASV_28	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	uncultured	uncultured	ASV_28
ASV_29	Bacteria	TA06	TA06	TA06	TA06	TA06	TA06	ASV_29
