,Date,Type,runno,Sample_Name,Number,Det.,Ion,Measurement,Core,Depth_cm,Real_depth_cm,Real_conc_ppb,Dilfac,Standard_group,U_spike_mass,Sample_mass,Total_mass,Conc_spike,U238_to_U236_mean,U238_to_U236_stdev,U238_to_U236_sterr,U238_to_U236_stderr,U238_to_U236_stderr_over_mean,Sample_conc_ppb,Sample_conc_ppb_undil,Sample_conc_uM
698,5022022,Sample,32,GC42,4594.666,,Fe56,CPS,GC02,3.0,6.5,,10.09417095,,,,,,,,,,,23.954476051839563,2.373099898,0.4289841699828002
2641,5202022,Sample,30,a,6964.062708,,Fe56,CPS,GC04,5.0,11.0,,16.02045297,,,,,,,,,,,32.647934024681426,2.037890819056,0.5846693055995957
2111,5142022,Sample,35,109,16593.98547,,Fe56,CPS,GC06,5.0,11.0,,10.13020019,,,,,,,,,,,34.713129907780186,3.42669732648,0.6216534725605334
3090,6042022,Sample,46,103,30933.93892,,Fe56,CPS,GC06,10.0,16.0,,10.49583952,,,,,,,,,,,56.543326372263856,5.387213311,1.0125953863227768
2633,5202022,Sample,22,b,20004.74403,,Fe56,CPS,GC04,10.0,16.0,,10.67184248,,,,,,,,,,,67.95185798329085,6.36739701796,1.216902900846899
2151,5142022,Sample,75,40,5713.150284,,Fe56,CPS,GC02,15.0,18.5,,10.22581484,,,,,,,,,,,14.567937684654405,1.424623652256,0.2608871361865044
3072,6042022,Sample,25,40,7747.796587,,Fe56,CPS,GC02,15.0,18.5,,10.69648372,,,,,,,,,,,14.222455528234764,1.329638402725,0.2547001348179578
2628,5202022,Sample,17,c,7169.935896,,Fe56,CPS,GC04,15.0,21.0,,10.5529453,,,,,,,,,,,22.227043080114765,2.1062407174719997,0.39804876576136755
2108,5142022,Sample,32,126,7774.364862,,Fe56,CPS,GC06,15.0,21.0,,10.33866368,,,,,,,,,,,18.649782401391,1.803887134608,0.3339860745234778
682,5022022,Sample,15,GC45,3852.43,,Fe56,CPS,GC02,18.0,21.5,,10.08975976,,,,,,,,,,,22.798193469741328,2.25953779,0.40827710368447934
696,5022022,Sample,30,GC39,4154.738,,Fe56,CPS,GC02,21.0,24.5,,10.1611748,,,,,,,,,,,23.429544529405767,2.305790914,0.4195835338360631
3089,6042022,Sample,43,123,14037.62613,,Fe56,CPS,GC06,20.0,26.0,,10.53402015,,,,,,,,,,,25.601446177073743,2.4303585727500003,0.4584786206496014
695,5022022,Sample,29,GC37,4529.72,,Fe56,CPS,GC02,27.0,30.5,,10.12922565,,,,,,,,,,,23.937012895407054,2.36316316,0.4286714343733355
2143,5142022,Sample,67,113,17806.65619,,Fe56,CPS,GC06,25.0,31.0,,10.16269757,,,,,,,,,,,37.09210565634496,3.64982873896,0.664256906453169
2668,5202022,Sample,58,e,8044.750593,,Fe56,CPS,GC04,25.0,31.0,,10.71397444,,,,,,,,,,,25.677959656209186,2.3966791968759997,0.45984884771148254
2659,5202022,Sample,49,25,4850.614865,,Fe56,CPS,GC02,30.0,33.5,,10.53082471,,,,,,,,,,,14.071563202501341,1.3362261351799998,0.25199790835425034
2681,5202022,Sample,71,89,8296.924063,,Fe56,CPS,GC06,30.0,36.0,,10.33385387,,,,,,,,,,,25.63209929169066,2.480400788916,0.45902756611193873
3101,6042022,Sample,58,60,31974.71445,,Fe56,CPS,GC04,30.0,36.0,,10.46580577,,,,,,,,,,,58.28772520023564,5.56934902875,1.0438346203480595
2157,5142022,Sample,81,41,4252.738571,,Fe56,CPS,GC02,36.0,39.5,,18.33226527,,,,,,,,,,,21.190410196665102,1.155907897064,0.37948442329271315
2125,5142022,Sample,49,125,23230.95338,,Fe56,CPS,GC06,35.0,41.0,,10.12223676,,,,,,,,,,,47.04713838534138,4.64789942192,0.8425347132045375
2662,5202022,Sample,52,64,12085.30463,,Fe56,CPS,GC04,35.0,41.0,,10.56155782,,,,,,,,,,,39.480614882551535,3.73814313716,0.7070310688136019
3091,6042022,Sample,47,125,48389.00107,,Fe56,CPS,GC06,35.0,41.0,,10.55319781,,,,,,,,,,,89.08850435523698,8.44184918725,1.595424504929029
711,5022022,Sample,46,GC44,17583.966,,Fe56,CPS,GC02,42.0,45.5,,16.40037617,,,,,,,,,,,71.51323016249073,4.360462798,1.2806810559185302
3094,6042022,Sample,51,83,14521.77862,,Fe56,CPS,GC04,40.0,46.0,,10.46128003,,,,,,,,,,,26.31101118849344,2.5150852585,0.4711857304529627
2645,5202022,Sample,34,117,17377.31459,,Fe56,CPS,GC06,40.0,46.0,,10.57782629,,,,,,,,,,,58.12611216320165,5.495090443880001,1.0409404040687973
2669,5202022,Sample,59,38,5639.542,,Fe56,CPS,GC02,45.0,48.5,,10.66869555,,,,,,,,,,,17.05017519578555,1.598149944,0.305339813678108
2650,5202022,Sample,39,73,17365.2164,,Fe56,CPS,GC04,45.0,51.0,,10.5958694,,,,,,,,,,,58.182701325256666,5.4910738448,1.041953820294711
2130,5142022,Sample,54,107,38483.87142,,Fe56,CPS,GC06,45.0,51.0,,10.13736516,,,,,,,,,,,75.56834325352975,7.45443634128,1.3533012760302605
2672,5202022,Sample,62,24,6948.146423,,Fe56,CPS,GC02,48.0,51.5,,10.66291859,,,,,,,,,,,21.67351883390075,2.032606612436,0.3881360822689962
2154,5142022,Sample,78,29,33871.31966,,Fe56,CPS,GC02,51.0,54.5,,10.15073318,,,,,,,,,,,67.05297038380401,6.60572681744,1.2008053435494987
2122,5142022,Sample,46,29b,37710.77835,,Fe56,CPS,GC02,51.0,54.5,,10.37878896,,,,,,,,,,,75.89164795502545,7.3121872164,1.3590911166730917
3065,6042022,Sample,18,62,36011.34923,,Fe56,CPS,GC04,50.0,56.0,,10.54989166,,,,,,,,,,,66.2085893000366,6.27576011525,1.1856839058029478
2643,5202022,Sample,32,97,28386.76095,,Fe56,CPS,GC06,50.0,56.0,,10.54492211,,,,,,,,,,,96.48842715914037,9.150226635400001,1.7279446124487887
2685,5202022,Sample,75,28,23101.44787,,Fe56,CPS,GC02,54.0,57.5,,10.71842119,,,,,,,,,,,79.26811277363832,7.39550269284,1.419557893510715
710,5022022,Sample,45,GC28,54678.946,,Fe56,CPS,GC02,54.0,57.5,,10.0956967,,,,,,,,,,,101.32035895764398,10.035994738000001,1.8144763423646844
708,5022022,Sample,42,GC20,53248.03,,Fe56,CPS,GC02,57.0,60.5,,10.11343762,,,,,,,,,,,99.28427034247588,9.817064590000001,1.7780134373652556
2141,5142022,Sample,65,90,26189.90572,,Fe56,CPS,GC06,55.0,61.0,,10.03077402,,,,,,,,,,,52.083255904530354,5.1923466524799995,0.9327230641928788
3070,6042022,Sample,23,90,35647.88721,,Fe56,CPS,GC06,55.0,61.0,,10.52655792,,,,,,,,,,,65.39260164428622,6.212154261749999,1.1710709463518305
2634,5202022,Sample,23,68,21522.1838,,Fe56,CPS,GC04,55.0,61.0,,10.44929333,,,,,,,,,,,71.79904871398743,6.871187021599999,1.285799582986881
679,5022022,Sample,12,GC35,84832.926,,Fe56,CPS,GC02,60.0,63.5,,10.08753169,,,,,,,,,,,147.77783697118107,14.649553678000002,2.646451235157254
3067,6042022,Sample,20,81,51119.30746,,Fe56,CPS,GC04,60.0,66.0,,10.55366192,,,,,,,,,,,94.13500015302654,8.919652805500002,1.6857987133421657
693,5022022,Sample,27,GC26,102973.618,,Fe56,CPS,GC02,63.0,66.5,,10.09182441,,,,,,,,,,,175.8508431892491,17.425079554,3.1491913178590454
2156,5142022,Sample,80,119,124675.2998,,Fe56,CPS,GC06,65.0,71.0,,10.23840669,,,,,,,,,,,238.69472394488668,23.3136591632,4.274618981821036
2673,5202022,Sample,63,78,27891.33684,,Fe56,CPS,GC04,65.0,71.0,,10.52195644,,,,,,,,,,,94.54762621343097,8.985745830880001,1.6931881485213283
697,5022022,Sample,31,GC19,136214.664,,Fe56,CPS,GC02,69.0,72.5,,10.09787795,,,,,,,,,,,227.3129224973978,22.510959592,4.070790159337353
2636,5202022,Sample,25,22,72519.80736,,Fe56,CPS,GC02,72.0,75.5,,11.02946012,,,,,,,,,,,262.5275999813699,23.802398043520004,4.701425501099031
3095,6042022,Sample,52,76,39530.87863,,Fe56,CPS,GC04,70.0,76.0,,10.48452908,,,,,,,,,,,72.25599588733039,6.8916777602499995,1.2939827343719623
2649,5202022,Sample,38,111,82424.33587,,Fe56,CPS,GC06,70.0,76.0,,10.73031766,,,,,,,,,,,290.6918328220945,27.09070150884,5.205799298389945
2140,5142022,Sample,64,102,136902.2128,,Fe56,CPS,GC06,75.0,81.0,,10.21436675,,,,,,,,,,,261.114056920254,25.5634111552,4.676111334531768
2164,5142022,Sample,89,36,142939.669,,Fe56,CPS,GC02,81.0,84.5,,14.17081199,,,,,,,,,,,377.9965341376909,26.674303096,6.769278906477272
2667,5202022,Sample,57,112,57420.10786,,Fe56,CPS,GC06,80.0,86.0,,10.53443311,,,,,,,,,,,197.93460095825796,18.78929780952,3.5446740859286883
3079,6042022,Sample,32,77,68150.66461,,Fe56,CPS,GC04,80.0,86.0,,10.54372925,,,,,,,,,,,125.47185743138397,11.900140306750002,2.2469888508485667
712,5022022,Sample,47,GC77,64038.286,,Fe56,CPS,GC04,80.0,86.0,,10.13208268,,,,,,,,,,,116.19445828812633,11.467973758000001,2.0808463160481074
3085,6042022,Sample,38,18,227545.3386,,Fe56,CPS,GC02,84.0,87.5,,10.54478882,,,,,,,,,,,419.62152230807567,39.794208254999994,7.514712075717687
2144,5142022,Sample,68,27,252731.2916,,Fe56,CPS,GC02,87.0,90.5,,10.18802607,,,,,,,,,,,477.57351939134753,46.8759616544,8.552534373054218
2110,5142022,Sample,34,118,128794.0924,,Fe56,CPS,GC06,85.0,91.0,,10.067705,,,,,,,,,,,242.34493207459334,24.0715170016,4.339988038585124
3068,6042022,Sample,21,61,80030.19509,,Fe56,CPS,GC04,85.0,91.0,,10.50645154,,,,,,,,,,,146.87029693063238,13.979058140749999,2.630198727267772
3074,6042022,Sample,27,108,146556.9669,,Fe56,CPS,GC06,90.0,96.0,,10.51343833,,,,,,,,,,,269.3673603999826,25.621243207499997,4.823914047277625
2655,5202022,Sample,44,f,46946.66996,,Fe56,CPS,GC04,90.0,96.0,,10.59665603,,,,,,,,,,,162.25723086526455,15.31211642672,2.9057527017418434
2139,5142022,Sample,63,17,252586.8877,,Fe56,CPS,GC02,96.0,99.5,,10.15915237,,,,,,,,,,,475.9501050323091,46.8493913368,8.523461766337913
2124,5142022,Sample,48,124,90062.24473,,Fe56,CPS,GC06,95.0,101.0,,11.08520789,,,,,,,,,,,187.83726284742525,16.94485703032,3.3638478303621997
3078,6042022,Sample,31,53,128670.121,,Fe56,CPS,GC04,95.0,101.0,,10.60876561,,,,,,,,,,,238.60222658549645,22.491045175,4.272962510485251
3084,6042022,Sample,37,124,113678.0217,,Fe56,CPS,GC06,95.0,101.0,,11.13351803,,,,,,,,,,,221.19436559318942,19.8674277975,3.961217148875168
681,5022022,Sample,14,GC52,342967.516,,Fe56,CPS,GC02,99.0,102.5,,10.3315002,,,,,,,,,,,559.3902546905913,54.144145948,10.017733787438955
2680,5202022,Sample,70,51,122538.444,,Fe56,CPS,GC02,102.0,105.5,,10.61510343,,,,,,,,,,,428.94131356590873,40.408585408,7.681613781624439
2637,5202022,Sample,26,100,94770.73615,,Fe56,CPS,GC06,100.0,106.0,,10.68999481,,,,,,,,,,,333.41779956066574,31.1897064018,5.970949132533412
2656,5202022,Sample,45,93,117280.8134,,Fe56,CPS,GC06,105.0,111.0,,11.66630442,,,,,,,,,,,451.0549350076054,38.6630520488,8.077631357586057
2630,5202022,Sample,19,95,102483.8709,,Fe56,CPS,GC06,105.0,111.0,,14.56519168,,,,,,,,,,,491.58202316616314,33.7504671388,8.80340299366338
2152,5142022,Sample,76,94,173564.4832,,Fe56,CPS,GC06,105.0,111.0,,15.46263458,,,,,,,,,,,499.58641868372973,32.3092689088,8.946748185596878
2644,5202022,Sample,33,48,139960.6531,,Fe56,CPS,GC02,108.0,111.5,,10.54580552,,,,,,,,,,,487.139851045006,46.192758829199995,8.723851200662715
3096,6042022,Sample,53,46,248972.3819,,Fe56,CPS,GC02,111.0,114.5,,10.59503408,,,,,,,,,,,461.34953709784105,43.5439408325,8.261990277540132
2648,5202022,Sample,37,69,58145.21895,,Fe56,CPS,GC04,110.0,116.0,,10.95310852,,,,,,,,,,,208.43803511426893,19.0300346914,3.732772835140919
2128,5142022,Sample,52,114,243528.346,,Fe56,CPS,GC06,110.0,116.0,,10.24692682,,,,,,,,,,,462.982997232901,45.182619664,8.291242787122153
2114,5142022,Sample,38,49,313407.743,,Fe56,CPS,GC02,114.0,117.5,,10.10942173,,,,,,,,,,,586.7551712396087,58.040428712,10.507793181225082
3080,6042022,Sample,33,49,334218.3052,,Fe56,CPS,GC02,114.0,117.5,,10.48121259,,,,,,,,,,,612.7524136659875,58.461977409999996,10.973359843588602
3100,6042022,Sample,57,72,74762.04198,,Fe56,CPS,GC04,115.0,121.0,,10.48134451,,,,,,,,,,,136.8562919549867,13.0571313465,2.450864827274117
2129,5142022,Sample,53,98,220608.2572,,Fe56,CPS,GC06,115.0,121.0,,10.26843605,,,,,,,,,,,420.64980282828213,40.965323324799996,7.533126841480697
2629,5202022,Sample,18,80,46924.78946,,Fe56,CPS,GC04,120.0,126.0,,10.71969483,,,,,,,,,,,164.06334393800282,15.30485210072,2.9380971335602224
3081,6042022,Sample,34,104,182616.6371,,Fe56,CPS,GC06,120.0,126.0,,10.54211916,,,,,,,,,,,336.62763344157827,31.931685492499998,6.0284318309738225
2142,5142022,Sample,66,50,411463.3658,,Fe56,CPS,GC02,123.0,126.5,,10.20594423,,,,,,,,,,,776.4954185831505,76.0826633072,13.905720246832923
2116,5142022,Sample,40,120,229217.9361,,Fe56,CPS,GC06,125.0,131.0,,11.30109983,,,,,,,,,,,480.8561951603709,42.5495042424,8.611321546568245
