,Date,Type,runno,Sample_Name,Number,Det.,Ion,Measurement,Core,Depth_cm,Real_depth_cm,Real_conc_ppb,Dilfac,Standard_group,U_spike_mass,Sample_mass,Total_mass,Conc_spike,U238_to_U236_mean,U238_to_U236_stdev,U238_to_U236_sterr,U238_to_U236_stderr,U238_to_U236_stderr_over_mean,Sample_conc_ppb,Sample_conc_ppb_undil,Sample_conc_uM
591,5022022,Sample,32,GC42,36020.516,,Mn55,CPS,GC02,3.0,6.5,,10.09417095,,,,,,,,,,,100.00179436551564,9.906885356000002,1.820200115863044
2482,5202022,Sample,30,a,52495.67642,,Mn55,CPS,GC04,5.0,11.0,,16.02045297,,,,,,,,,,,441.50152478206735,27.55861682618,8.036067069203993
2298,5142022,Sample,35,109,51495.24122,,Mn55,CPS,GC06,5.0,11.0,,10.13020019,,,,,,,,,,,149.7648256905643,14.78399467746,2.725970616865022
2975,6042022,Sample,46,103,92722.92791,,Mn55,CPS,GC06,10.0,16.0,,10.49583952,,,,,,,,,,,269.8808113788366,25.71312288689,4.91228269710296
2474,5202022,Sample,22,b,43557.92985,,Mn55,CPS,GC04,10.0,16.0,,10.67184248,,,,,,,,,,,243.64402149295552,22.830548890649997,4.434729186256926
2338,5142022,Sample,75,40,252687.2167,,Mn55,CPS,GC02,15.0,18.5,,10.22581484,,,,,,,,,,,753.9824955130754,73.73324349309999,13.723744002786228
2955,6042022,Sample,25,40,282147.6306,,Mn55,CPS,GC02,15.0,18.5,,10.69648372,,,,,,,,,,,840.3437316785278,78.56261493739999,15.295663117556021
2469,5202022,Sample,17,c,67798.42006,,Mn55,CPS,GC04,15.0,21.0,,10.5529453,,,,,,,,,,,376.25226567737104,35.65376821174,6.848421290086841
2295,5142022,Sample,32,126,71528.97752,,Mn55,CPS,GC06,15.0,21.0,,10.33866368,,,,,,,,,,,213.53351294200476,20.653879413360002,3.886667508955311
574,5022022,Sample,15,GC45,407833.54,,Mn55,CPS,GC02,18.0,21.5,,10.08975976,,,,,,,,,,,1004.0705783714885,99.51382414,18.2757658968236
589,5022022,Sample,30,GC39,333815.712,,Mn55,CPS,GC02,21.0,24.5,,10.1611748,,,,,,,,,,,829.9193127445351,81.67552759200001,15.105921236704315
2972,6042022,Sample,43,123,81690.20998,,Mn55,CPS,GC06,20.0,26.0,,10.53402015,,,,,,,,,,,238.4374890474212,22.634994584420003,4.339961577128162
588,5022022,Sample,29,GC37,408326.714,,Mn55,CPS,GC02,27.0,30.5,,10.12922565,,,,,,,,,,,1009.201888454579,99.632679074,18.369164332991975
2330,5142022,Sample,67,113,97882.13503,,Mn55,CPS,GC06,25.0,31.0,,10.16269757,,,,,,,,,,,288.3701468733171,28.375354563790005,5.248819564494305
2508,5202022,Sample,58,e,27883.16738,,Mn55,CPS,GC04,25.0,31.0,,10.71397444,,,,,,,,,,,155.7661839080259,14.538599544019998,2.8352053860215856
2499,5202022,Sample,49,25,204325.7546,,Mn55,CPS,GC02,30.0,33.5,,10.53082471,,,,,,,,,,,1136.030914787702,107.87672818339999,20.677664994315652
2521,5202022,Sample,71,89,48184.33129,,Mn55,CPS,GC06,30.0,36.0,,10.33385387,,,,,,,,,,,261.21828235664907,25.277915252409997,4.754610163026012
2985,6042022,Sample,58,60,71164.02637,,Mn55,CPS,GC04,30.0,36.0,,10.46580577,,,,,,,,,,,206.15742383345034,19.698189357230003,3.7524103355196643
2354,5142022,Sample,91,32,370241.4191,,Mn55,CPS,GC02,33.0,36.5,,10.1402446,,,,,,,,,,,1096.9374354369072,108.1766247963,19.96609820598666
2312,5142022,Sample,49,125,106627.4903,,Mn55,CPS,GC06,35.0,41.0,,10.12223676,,,,,,,,,,,313.15916612545226,30.937743657900004,5.700021225435972
2502,5202022,Sample,52,64,32724.49669,,Mn55,CPS,GC04,35.0,41.0,,10.56155782,,,,,,,,,,,180.59907682616924,17.099662749009997,3.287205621153426
605,5022022,Sample,46,GC44,295597.344,,Mn55,CPS,GC02,42.0,45.5,,16.40037617,,,,,,,,,,,1188.4516339473732,72.464900904,21.631809864349712
2485,5202022,Sample,34,117,56367.1529,,Mn55,CPS,GC06,40.0,46.0,,10.57782629,,,,,,,,,,,313.17376679068,29.606627884099996,5.70028698199272
