Sample_conc_ppb,Sample_conc_ppb_undil,Sample_conc_uM,Concentration_units,Analyte,Station,Core,Real_depth_cm
23.95447605,2.373099898,0.42898417,uM,Iron,CR02,GC02,6.5
14.56793768,1.424623652,0.260887136,uM,Iron,CR02,GC02,18.5
14.22245553,1.329638403,0.254700135,uM,Iron,CR02,GC02,18.5
22.79819347,2.25953779,0.408277104,uM,Iron,CR02,GC02,21.5
23.42954453,2.305790914,0.419583534,uM,Iron,CR02,GC02,24.5
23.9370129,2.36316316,0.428671434,uM,Iron,CR02,GC02,30.5
14.0715632,1.336226135,0.251997908,uM,Iron,CR02,GC02,33.5
21.1904102,1.155907897,0.379484423,uM,Iron,CR02,GC02,39.5
71.51323016,4.360462798,1.280681056,uM,Iron,CR02,GC02,45.5
17.0501752,1.598149944,0.305339814,uM,Iron,CR02,GC02,48.5
21.67351883,2.032606612,0.388136082,uM,Iron,CR02,GC02,51.5
67.05297038,6.605726817,1.200805344,uM,Iron,CR02,GC02,54.5
75.89164796,7.312187216,1.359091117,uM,Iron,CR02,GC02,54.5
79.26811277,7.395502693,1.419557894,uM,Iron,CR02,GC02,57.5
101.320359,10.03599474,1.814476342,uM,Iron,CR02,GC02,57.5
99.28427034,9.81706459,1.778013437,uM,Iron,CR02,GC02,60.5
147.777837,14.64955368,2.646451235,uM,Iron,CR02,GC02,63.5
175.8508432,17.42507955,3.149191318,uM,Iron,CR02,GC02,66.5
227.3129225,22.51095959,4.070790159,uM,Iron,CR02,GC02,72.5
262.5276,23.80239804,4.701425501,uM,Iron,CR02,GC02,75.5
377.9965341,26.6743031,6.769278906,uM,Iron,CR02,GC02,84.5
419.6215223,39.79420825,7.514712076,uM,Iron,CR02,GC02,87.5
477.5735194,46.87596165,8.552534373,uM,Iron,CR02,GC02,90.5
475.950105,46.84939134,8.523461766,uM,Iron,CR02,GC02,99.5
559.3902547,54.14414595,10.01773379,uM,Iron,CR02,GC02,102.5
428.9413136,40.40858541,7.681613782,uM,Iron,CR02,GC02,105.5
487.139851,46.19275883,8.723851201,uM,Iron,CR02,GC02,111.5
461.3495371,43.54394083,8.261990278,uM,Iron,CR02,GC02,114.5
586.7551712,58.04042871,10.50779318,uM,Iron,CR02,GC02,117.5
612.7524137,58.46197741,10.97335984,uM,Iron,CR02,GC02,117.5
776.4954186,76.08266331,13.90572025,uM,Iron,CR02,GC02,126.5
100.001794,9.90688536,1.82020012,uM,Manganese,CR02,GC02,6.5
753.982496,73.7332435,13.723744,uM,Manganese,CR02,GC02,18.5
840.343732,78.5626149,15.2956631,uM,Manganese,CR02,GC02,18.5
1004.07058,99.5138241,18.2757659,uM,Manganese,CR02,GC02,21.5
829.919313,81.6755276,15.1059212,uM,Manganese,CR02,GC02,24.5
1009.20189,99.6326791,18.3691643,uM,Manganese,CR02,GC02,30.5
1136.03091,107.876728,20.677665,uM,Manganese,CR02,GC02,33.5
1096.93744,108.176625,19.9660982,uM,Manganese,CR02,GC02,36.5
1188.45163,72.4649009,21.6318099,uM,Manganese,CR02,GC02,45.5
1037.54345,97.2512007,18.8850283,uM,Manganese,CR02,GC02,48.5
1194.05194,111.981717,21.7337447,uM,Manganese,CR02,GC02,51.5
1604.92134,154.634741,29.2122559,uM,Manganese,CR02,GC02,54.5
1579.56474,155.610901,28.7507233,uM,Manganese,CR02,GC02,54.5
1343.25481,133.052216,24.449487,uM,Manganese,CR02,GC02,57.5
