DO-01_S234	97.1%
DO-101_S223	39.9%
DO-102_S255	53.7%
DO-105_S217	59.0%
DO-107_S233	93.9%
DO-10_S245	62.6%
DO-110_S207	43.2%
DO-113_S242	37.3%
DO-114_S208	45.1%
DO-115_S209	49.4%
DO-116_S206	94.0%
DO-11_S254	53.1%
DO-12_S204	50.9%
DO-13_S253	46.2%
DO-14_S213	95.0%
DO-152_S231	94.2%
DO-152-star_S236	92.8%
DO-153_S233	42.1%
DO-154_S211	58.7%
DO-154_S218	71.0%
DO-156_S235	54.5%
DO-157_S216	80.1%
DO-158_S230	95.9%
DO-159_S221	45.1%
DO-15_S214	96.0%
DO-15_S251	36.6%
DO-161_S243	58.8%
DO-162_S219	55.2%
DO-16_S215	95.9%
DO-17_S203	46.0%
DO-18_S235	98.1%
DO-19_S249	57.8%
DO-200_S225	63.4%
DO-202_S224	74.4%
DO-203_S195	98.4%
DO-206_S194	98.9%
DO-209_S192	98.6%
DO-20_S202	76.3%
DO-211_S193	98.1%
DO-21_S200	64.5%
DO-23_S246	41.9%
DO-28_S227	96.1%
DO-2_S252	40.8%
DO-30_S197	82.7%
DO-31_S198	85.1%
DO-35_S209	53.1%
DO-35_S229	62.0%
DO-37_S236	65.6%
DO-39_S205	77.0%
DO-3_S201	61.4%
DO-44_S232	96.2%
DO-46_S234	64.2%
DO-47_S218	45.5%
DO-48_S237	58.8%
DO-49_S239	66.5%
DO-50_S213	58.4%
DO-51_S238	55.0%
DO-53_S230	81.1%
DO-54_S232	53.2%
DO-55_S205	83.8%
DO-55_S244	50.9%
DO-58_S196	60.5%
DO-59_S229	96.8%
DO-5_S241	68.6%
DO-60_S228	70.6%
DO-61_S226	53.4%
DO-63_S231	61.6%
DO-68_S219	86.7%
DO-69_S226	97.0%
DO-6_S250	64.3%
DO-70_S210	53.1%
DO-71_S220	95.8%
DO-72_S211	44.8%
DO-73_S199	83.5%
DO-74_S217	47.2%
DO-77_S220	56.0%
DO-78_S208	82.4%
DO-79_S228	96.4%
DO-7_S222	60.3%
DO-81_S227	68.8%
DO-83_S248	70.5%
DO-84_S221	90.2%
DO-85_S225	98.0%
DO-86_S216	62.4%
DO-87_S224	95.0%
DO-88_S212	64.9%
DO-8_S247	47.0%
DO-93_S223	98.6%
DO-98_S210	56.6%
DO-98_S215	30.8%
DO-99_S240	68.4%
DO-a_S214	61.7%
DO-ne-35_S212	21.4%
DO-ne-45_S206	55.8%
DO-np-35_S222	64.4%
DO-np-45_S207	36.4%
