Identifier,Peak_Nr,Width,Area_All,Area_44,Ampl_44,Area_45,Ampl_45,Area_46,Ampl_46,d13C,Type,Core,Real_depth_cm,Weigh_EA_mg,Amount_ug,Date,Weigh_sample_before_decarb_mg,Weigh_sample_after_decarb_mg
MetA,1,23.2,78.81,77.578,4007,0.903,4662,0.33,5686,-12.078,standard,,,,,20230126,,
MetA,2,23.2,78.749,77.517,4006,0.902,4661,0.33,5684,-12.04,standard,,,,,20230126,,
MetA,3,95.1,71.005,69.912,2311,0.797,2636,0.296,3249,-33.547,standard,,,,,20230126,,
MetA,4,23.2,78.456,77.229,4011,0.898,4666,0.329,5690,-12.247,standard,,,,,20230126,,
MetA,1,23.2,78.6,77.367,4003,0.904,4675,0.33,5686,-12.011,standard,,,,,20230126,,
MetA,2,23.2,78.605,77.372,4006,0.904,4678,0.33,5690,-12.04,standard,,,,,20230126,,
MetA,3,92.4,55.655,54.795,1816,0.627,2080,0.232,2555,-33.142,standard,,,,,20230126,,
MetA,4,23.2,78.45,77.219,4006,0.902,4679,0.329,5690,-11.966,standard,,,,,20230126,,
GluTIS,1,23.2,78.602,77.37,4001,0.902,4665,0.33,5681,-12.052,standard,,,,,20230126,,
GluTIS,2,23.2,78.552,77.321,4008,0.902,4674,0.329,5691,-12.04,standard,,,,,20230126,,
GluTIS,3,92,52.956,52.127,1728,0.608,2017,0.221,2429,-11.466,standard,,,,,20230126,,
GluTIS,4,23,78.505,77.275,4002,0.901,4667,0.329,5682,-11.998,standard,,,,,20230126,,
GluTIS,1,23.2,78.512,77.282,4000,0.901,4664,0.329,5677,-11.973,standard,,,,,20230126,,
GluTIS,2,23.2,78.523,77.293,4001,0.901,4664,0.329,5678,-12.04,standard,,,,,20230126,,
GluTIS,3,90.1,43.319,42.641,1412,0.497,1647,0.181,1984,-11.54,standard,,,,,20230126,,
GluTIS,4,23.2,78.398,77.17,3999,0.9,4663,0.329,5676,-11.857,standard,,,,,20230126,,
CR02_18.5,1,23.2,78.594,77.362,4002,0.902,4666,0.33,5681,-11.958,sample,CR02,18.5,1.294,,20230126,70,40
CR02_18.5,2,23.2,78.37,77.142,3998,0.899,4661,0.329,5674,-12.04,sample,CR02,18.5,1.294,,20230126,70,40
CR02_18.5,3,95.5,73.202,72.063,2385,0.833,2760,0.305,3352,-21.179,sample,CR02,18.5,1.294,,20230126,70,40
CR02_18.5,4,23.2,78.382,77.153,3994,0.9,4657,0.329,5670,-11.897,sample,CR02,18.5,1.294,,20230126,70,40
CR02_21.5,1,23.2,78.422,77.193,3993,0.9,4656,0.329,5668,-11.945,sample,CR02,21.5,1.284,,20230126,60,40
CR02_21.5,2,23.2,78.44,77.211,3995,0.9,4658,0.329,5670,-12.04,sample,CR02,21.5,1.284,,20230126,60,40
CR02_21.5,3,97.6,79.76,78.519,2578,0.908,2985,0.333,3625,-20.587,sample,CR02,21.5,1.284,,20230126,60,40
CR02_21.5,4,23.2,78.352,77.124,3996,0.899,4660,0.329,5671,-11.793,sample,CR02,21.5,1.284,,20230126,60,40
CR02_33.5,1,23.2,78.493,77.263,3998,0.901,4662,0.329,5675,-12.021,sample,CR02,33.5,1.278,,20230126,50,30
CR02_33.5,2,23.2,78.626,77.394,3997,0.903,4660,0.33,5674,-12.04,sample,CR02,33.5,1.278,,20230126,50,30
CR02_33.5,3,100.5,119.877,118.013,3878,1.364,4494,0.5,5452,-21.042,sample,CR02,33.5,1.278,,20230126,50,30
CR02_33.5,4,23.2,78.284,77.057,3998,0.899,4662,0.328,5676,-11.909,sample,CR02,33.5,1.278,,20230126,50,30
CR02_39.5,1,23,78.295,77.066,3998,0.9,4671,0.328,5681,-12.053,sample,CR02,39.5,1.413,,20230126,80,50
CR02_39.5,2,23.2,78.374,77.144,3999,0.901,4671,0.329,5680,-12.04,sample,CR02,39.5,1.413,,20230126,80,50
CR02_39.5,3,101.2,122.614,120.704,3953,1.399,4593,0.512,5561,-20.124,sample,CR02,39.5,1.413,,20230126,80,50
CR02_39.5,4,23.2,78.337,77.107,3994,0.901,4666,0.329,5675,-11.992,sample,CR02,39.5,1.413,,20230126,80,50
CR02_45.5,1,23.2,78.404,77.173,3993,0.902,4664,0.329,5673,-11.996,sample,CR02,45.5,1.3,,20230126,40,30
CR02_45.5,2,23.2,78.363,77.133,3993,0.901,4664,0.329,5671,-12.04,sample,CR02,45.5,1.3,,20230126,40,30
CR02_45.5,3,100.5,110.256,108.538,3534,1.257,4103,0.46,4970,-20.629,sample,CR02,45.5,1.3,,20230126,40,30
CR02_45.5,4,23.2,78.213,76.986,3992,0.899,4664,0.328,5673,-11.873,sample,CR02,45.5,1.3,,20230126,40,30
CR02_52.5,1,23.2,78.34,77.114,3994,0.897,4647,0.328,5667,-11.972,sample,CR02,51.5,1.289,,20230126,100,80
CR02_52.5,2,23.2,78.569,77.34,3994,0.9,4647,0.329,5666,-12.04,sample,CR02,51.5,1.289,,20230126,100,80
CR02_52.5,3,99.7,107.171,105.507,3457,1.217,3997,0.446,4854,-20.736,sample,CR02,51.5,1.289,,20230126,100,80
CR02_52.5,4,23,78.127,76.905,3997,0.895,4649,0.327,5671,-12.174,sample,CR02,51.5,1.289,,20230126,100,80
CR02_57.5,1,23.2,78.287,77.058,3989,0.9,4661,0.329,5670,-12.063,sample,CR02,57.5,1.343,,20230126,70,70
CR02_57.5,2,23.2,78.345,77.115,3989,0.901,4661,0.329,5670,-12.04,sample,CR02,57.5,1.343,,20230126,70,70
CR02_57.5,3,95.9,73.336,72.194,2360,0.837,2738,0.306,3320,-20.63,sample,CR02,57.5,1.343,,20230126,70,70
CR02_57.5,4,23.2,78.234,77.006,3987,0.9,4658,0.329,5668,-11.955,sample,CR02,57.5,1.343,,20230126,70,70
CR02_66.5,1,23.2,78.083,76.859,3984,0.897,4647,0.327,5656,-12.148,sample,CR02,66.5,1.3,,20230126,40,40
CR02_66.5,2,23.2,78.175,76.95,3987,0.898,4652,0.328,5659,-12.04,sample,CR02,66.5,1.3,,20230126,40,40
CR02_66.5,3,98.4,94.688,93.216,3070,1.078,3556,0.395,4313,-21.157,sample,CR02,66.5,1.3,,20230126,40,40
CR02_66.5,4,23.2,77.972,76.75,3987,0.896,4652,0.327,5661,-11.991,sample,CR02,66.5,1.3,,20230126,40,40
