Identifier,Peak_Nr,Width,Area_All,Area_44,Ampl_44,Area_45,Ampl_45,Area_46,Ampl_46,d13C
blank,1,23.2,78.731,77.499,4011,0.902,4668,0.33,5690,-12.054
blank,2,23.2,78.799,77.566,4009,0.903,4666,0.33,5688,-12.04
blank,3,60.8,1.903,1.874,63,0.021,73,0.008,89,-28.484
blank,4,23.2,78.412,77.185,4010,0.898,4667,0.329,5689,-12.063
blank,1,23.2,78.573,77.343,4012,0.9,4668,0.329,5692,-11.953
blank,2,23.2,78.581,77.352,4009,0.9,4665,0.329,5687,-12.04
blank,3,61.2,1.973,1.943,66,0.022,75,0.008,93,-28.52
blank,4,23.2,78.564,77.335,4012,0.9,4669,0.329,5693,-12.05
blank,1,23.2,78.389,77.158,3985,0.902,4657,0.329,5661,-12.004
blank,2,23.2,78.081,76.855,3982,0.898,4653,0.328,5659,-12.04
blank,3,62.1,2.034,2.003,67,0.023,77,0.008,94,-27.588
blank,4,23.2,78.057,76.831,3984,0.898,4656,0.328,5661,-11.848
blank,1,23.2,77.988,76.763,3974,0.897,4645,0.327,5648,-12.031
blank,2,23.2,78.06,76.835,3973,0.898,4644,0.328,5645,-12.04
blank,3,61.9,2.024,1.993,67,0.023,77,0.008,94,-26.578
blank,4,23.2,77.716,76.496,3966,0.894,4636,0.326,5639,-11.904
blank,1,23.2,78.194,76.969,3985,0.898,4648,0.328,5658,-11.992
blank,2,23.2,78.131,76.906,3983,0.897,4646,0.328,5655,-12.04
blank,3,63.3,2.262,2.227,74,0.026,85,0.009,104,-27.206
blank,4,23.2,78.023,76.799,3983,0.896,4647,0.327,5656,-11.82
blank,1,23.2,77.858,76.638,3977,0.894,4640,0.326,5648,-12.067
blank,2,23.2,78.127,76.903,3977,0.897,4639,0.328,5646,-12.04
blank,3,64,2.223,2.189,72,0.025,82,0.009,100,-26.412
blank,4,23.2,77.741,76.522,3978,0.893,4640,0.326,5647,-11.766
