Identifier,Peak_Nr,Width,Ampl_44,Ampl_45,Ampl_46,d13C
linearity,1,22.4,1045,1222,1487,-0.019
linearity,2,22.5,1125,1314,1599,0
linearity,3,23.2,2942,3438,4183,0.05
linearity,4,23.6,3993,4667,5678,0.061
linearity,5,23.8,5346,6247,7599,0.102
linearity,6,24.4,6440,7526,9153,0.113
linearity,7,24.9,8697,10165,12360,0.184
linearity,8,25.9,12349,14433,17550,0.311
linearity,1,22.5,1045,1219,1484,-0.022
linearity,2,22.5,1123,1310,1595,0
linearity,3,23,2938,3428,4172,0.195
linearity,4,23.4,3997,4664,5676,0.198
linearity,5,23.8,5345,6237,7590,0.303
linearity,6,23.9,6437,7512,9138,0.355
linearity,7,24.7,8694,10148,12340,0.53
linearity,8,25.9,12349,14417,17526,0.835
linearity,1,22.4,1047,1224,1488,0.093
linearity,2,22.4,1126,1316,1601,0
linearity,3,23,2947,3443,4187,0.091
linearity,4,23.3,4008,4683,5695,0.07
linearity,5,23.6,5362,6266,7619,0.106
linearity,6,24,6452,7538,9164,0.139
linearity,7,24.6,8713,10180,12375,0.257
linearity,8,25.5,12378,14467,17580,0.471
