Identifier,Peak_Nr,Width,Area_All,Ampl_64,Area_64,Area_66,Ampl_66,d34S,Type,Date,Core,Depth_cm,Real_depth_cm
SW,1,55.4,33.004,1639,31.496,1.508,7844,0,standard,20221116,,,
SW,2,55.5,33.046,1637,31.536,1.51,7835,0.029,standard,20221116,,,
SW,3,126.7,27.733,758,26.446,1.288,3685,18.81,standard,20221116,,,
SW,4,53.3,32.582,1619,31.094,1.488,7752,0.04,standard,20221116,,,
SW,5,55.1,32.752,1622,31.256,1.496,7763,0.121,standard,20221116,,,
SW,1,54.5,32.615,1621,31.125,1.489,7758,0,standard,20221116,,,
SW,2,53.8,32.806,1624,31.308,1.498,7774,0.077,standard,20221116,,,
SW,3,117.3,26.978,770,25.726,1.253,3748,19.296,standard,20221116,,,
SW,4,54.6,32.84,1631,31.34,1.5,7807,-0.041,standard,20221116,,,
SW,5,54.1,32.972,1630,31.466,1.506,7800,0.102,standard,20221116,,,
AGS26,1,55,32.357,1607,30.879,1.478,7691,0,standard,20221116,,,
AGS26,2,53,32.504,1612,31.019,1.485,7716,0.012,standard,20221116,,,
AGS26,3,157.3,32.366,896,30.856,1.51,4379,23.892,standard,20221116,,,
AGS26,4,54.8,32.609,1622,31.119,1.49,7764,0.036,standard,20221116,,,
AGS26,5,56.5,32.924,1628,31.419,1.504,7797,0.108,standard,20221116,,,
AGS26,1,54.5,32.909,1633,31.406,1.504,7820,0,standard,20221116,,,
AGS26,2,57.1,33.104,1638,31.591,1.513,7844,0.063,standard,20221116,,,
AGS26,3,158.4,47.499,1413,45.281,2.218,6917,25.089,standard,20221116,,,
AGS26,4,56.6,33.2,1644,31.683,1.517,7872,0.06,standard,20221116,,,
AGS26,5,55.9,33.313,1646,31.791,1.522,7884,0.099,standard,20221116,,,
63*,1,55.3,33.395,1657,31.87,1.526,7934,0,sample,20221116,CR03,190,196
63*,2,54.6,33.493,1659,31.963,1.53,7941,0.024,sample,20221116,CR03,190,196
63*,3,172.5,40.318,3660,34.728,5.59,17820,20.886,sample,20221116,CR03,190,196
63*,4,55.6,33.558,1663,32.025,1.533,7962,0.201,sample,20221116,CR03,190,196
63*,5,56,33.726,1666,32.185,1.541,7976,0.259,sample,20221116,CR03,190,196
88,1,54.4,33.522,1663,31.99,1.532,7962,0,sample,20221116,CR03,185,191
88,2,56.5,33.583,1663,32.048,1.535,7963,0.034,sample,20221116,CR03,185,191
88,3,116.3,47.6,3927,42.597,5.003,19139,21.17,sample,20221116,CR03,185,191
88,4,55.9,33.807,1673,32.262,1.545,8014,0.112,sample,20221116,CR03,185,191
88,5,55.2,33.868,1672,32.32,1.548,8011,0.224,sample,20221116,CR03,185,191
76,1,54.4,33.168,1646,31.652,1.516,7881,0,sample,20221116,CR03,70,76
76,2,56.4,33.356,1647,31.831,1.525,7889,0.06,sample,20221116,CR03,70,76
76,3,180.1,56.985,5401,50.103,6.883,49948,20.706,sample,20221116,CR03,70,76
76,4,61.5,33.037,1635,31.527,1.51,7832,0.305,sample,20221116,CR03,70,76
76,5,57,33.105,1632,31.592,1.513,7819,0.358,sample,20221116,CR03,70,76
75,1,54.3,32.27,1601,30.795,1.475,7671,0,sample,20221116,CR03,140,146
75,2,54.9,32.315,1599,30.838,1.477,7660,-0.019,sample,20221116,CR03,140,146
75,3,180.1,49.834,4046,43.731,6.103,49951,20.521,sample,20221116,CR03,140,146
75,4,75.3,32.226,1592,30.752,1.474,7631,0.611,sample,20221116,CR03,140,146
75,5,59.5,32.346,1595,30.867,1.479,7644,0.653,sample,20221116,CR03,140,146
39,1,54.6,31.85,1577,30.393,1.457,7558,0,sample,20221116,CR02,114,117.5
39,2,54.5,31.905,1578,30.446,1.459,7560,-0.092,sample,20221116,CR02,114,117.5
39,3,180.1,46.365,3914,12.238,0.598,2033,21.049,sample,20221116,CR02,114,117.5
39,4,56.8,31.706,1570,30.256,1.45,7522,-0.203,sample,20221116,CR02,114,117.5
39,5,55.7,31.766,1570,30.314,1.452,7523,-0.192,sample,20221116,CR02,114,117.5
47,1,54,31.442,1563,30.005,1.437,7487,0,sample,20221116,CR02,90,93.5
47,2,54.1,31.655,1567,30.208,1.447,7506,0.011,sample,20221116,CR02,90,93.5
47,3,180,45.21,1124,43.107,2.103,5479,20.308,sample,20221116,CR02,90,93.5
47,4,55.7,31.89,1582,30.432,1.458,7575,-0.074,sample,20221116,CR02,90,93.5
47,5,54.4,32.069,1586,30.603,1.466,7597,-0.061,sample,20221116,CR02,90,93.5
29,1,53.6,31.299,1556,29.868,1.43,7448,0,sample,20221116,CR02,60,63.5
29,2,54.7,31.487,1560,30.048,1.439,7470,-0.043,sample,20221116,CR02,60,63.5
29,3,158.7,46.197,1271,44.049,2.148,6193,20.236,sample,20221116,CR02,60,63.5
29,4,56,31.332,1555,29.901,1.432,7447,-0.208,sample,20221116,CR02,60,63.5
29,5,54.6,31.448,1556,30.011,1.437,7450,-0.125,sample,20221116,CR02,60,63.5
20,1,54.2,29.111,1445,27.781,1.331,6921,0,sample,20221116,CR02,66,69.5
20,2,54.6,29.243,1450,27.907,1.337,6946,-0.046,sample,20221116,CR02,66,69.5
20,3,180,50.806,1397,48.442,2.363,6811,20.251,sample,20221116,CR02,66,69.5
