ID,Core,Depth,d18O,d18O_sd,Real_depth_cm,Measurement
19,CR02,15,8.190571148,0.129725685,18.5,Oxygen
23,CR02,21,8.238678271,0.317521283,24.5,Oxygen
30,CR02,30,8.538145747,0.197164838,33.5,Oxygen
33,CR02,51,9.215989153,0.043994631,54.5,Oxygen
18,CR02,54,8.937435715,0.273237563,57.5,Oxygen
31,CR02,57,9.08,0.116781056,60.5,Oxygen
29,CR02,60,9.137104253,0.26901617,63.5,Oxygen
35,CR02,63,9.19,0.192433408,66.5,Oxygen
20,CR02,66,9.3712234,0.086505428,69.5,Oxygen
26,CR02,69,8.965714041,0.133766049,72.5,Oxygen
25,CR02,72,9.417036129,0.191727678,75.5,Oxygen
32,CR02,81,9.378125456,0.407843661,84.5,Oxygen
27,CR02,84,9.032450891,0.180252538,87.5,Oxygen
21,CR02,87,9.51,0.17,90.5,Oxygen
38,CR02,96,9.244821122,0.280696542,99.5,Oxygen
40,CR02,102,9.543664413,0.081934819,105.5,Oxygen
36,CR02,111,9.78,0.15,114.5,Oxygen
42,CR02,123,9.86,0.21,126.5,Oxygen
58,CR03,10,8.732700632,0.254107316,16,Oxygen
78,CR03,20,9.048273149,0.151674732,26,Oxygen
79,CR03,25,8.98333874,0.098330761,31,Oxygen
68,CR03,30,9.092515034,0.131966205,36,Oxygen
49,CR03,35,8.747405362,0.16652381,41,Oxygen
71,CR03,45,9.026795226,0.233908258,51,Oxygen
65,CR03,55,8.882053167,0.176412742,61,Oxygen
76,CR03,70,9.382609812,0.394619089,76,Oxygen
72,CR03,80,9.551981861,0.09215106,86,Oxygen
56,CR03,95,9.923783737,0.261958822,101,Oxygen
50,CR03,110,10.16359785,0.467076586,116,Oxygen
60,CR03,120,10.13417449,0.361005482,126,Oxygen
74,CR03,135,10.38189262,0.272342746,141,Oxygen
75,CR03,140,10.00225442,0.7060008,146,Oxygen
63,CR03,155,10.6796634,0.248651888,161,Oxygen
59,CR03,170,10.71119988,0.200565814,176,Oxygen
53,CR03,180,10.97889398,0.409362241,186,Oxygen
62,CR03,195,11.09503932,0.153692899,201,Oxygen
