br correction factor,ID,meas_conc,br_corr,real_conc,Concentration_units,Ion,Depth_cm,Station,Core,Real_depth_cm,
0.994939759,2,966.688,971.6045532,10.30436869,mM,Calcium,2,SCB01,MC01,2,
0.976506024,3,936.2,958.7242443,10.17445203,mM,Calcium,3,SCB01,MC01,3,
1.00313253,4,941.966,939.0244775,9.975751214,mM,Calcium,4,SCB01,MC01,4,
1.001084337,5,954.544,953.5100734,10.12185953,mM,Calcium,5,SCB01,MC01,5,
0.992409639,6,925.653,932.7327789,9.912290277,mM,Calcium,6,SCB01,MC01,6,
0.98746988,8,930.091,941.8930332,10.00468477,mM,Calcium,8,SCB01,MC01,8,
0.996626506,7,933.464,936.6236944,9.951535822,mM,Calcium,10,SCB01,MC01,10,
0.986506024,9,917.495,930.0450049,9.885180165,mM,Calcium,12,SCB01,MC01,12,
0.951879518,10,936.7036,936.7036,9.952341787,mM,Calcium,15,SCB01,MC01,15,
0.998216867,11,955.6819,957.3890516,10.16098467,mM,Calcium,18,SCB01,MC01,18,
0.980192771,12,928.5188,947.281828,10.05903861,mM,Calcium,20,SCB01,MC01,20,
0.997759036,13,947.7601,949.8887664,10.08533338,mM,Calcium,23,SCB01,MC01,23,
0.986674699,14,967.1365,967.1365,10.25930187,mM,Calcium,27,SCB01,MC01,27,
0.980746988,15,939.0789,957.5139272,10.16224422,mM,Calcium,31,SCB01,MC01,31,
0.964963855,16,953.4621,953.4621,10.12137565,mM,Calcium,36,SCB01,MC01,36,
0.992048193,42,948.6634217,956.2674763,10.42267476,mM,Calcium,3,CR02,GC02,6.5,
0.753855422,40,718.7677349,953.4556816,10.43455682,mM,Calcium,15,CR02,GC02,18.5,
0.98373494,45,941.1011807,956.661335,10.46661335,mM,Calcium,18,CR02,GC02,21.5,
0.75053012,39,715.5816386,953.4349376,10.47434938,mM,Calcium,21,CR02,GC02,24.5,
0.959156627,37,929.5491205,969.1317297,10.4913173,mM,Calcium,27,CR02,GC02,30.5,
0.99373494,25,956.2231807,962.2517459,10.50251746,mM,Calcium,30,CR02,GC02,33.5,
0.981204819,32,950.5195422,968.7269401,10.5072694,mM,Calcium,33,CR02,GC02,36.5,
0.981445783,41,928.2816506,945.8308004,10.508308,mM,Calcium,36,CR02,GC02,39.5,
0.506987952,44,476.991,940.8330086,10.50833009,mM,Calcium,42,CR02,GC02,45.5,
0.834698795,38,790.5348819,947.09,10.5009,mM,Calcium,45,CR02,GC02,48.5,
1.006144578,24,969.113,963.1945755,10.50194576,mM,Calcium,48,CR02,GC02,51.5,
0.933493976,29,906.917,971.5295689,10.51029569,mM,Calcium,51,CR02,GC02,54.5,
0.958072289,28,928.909,969.5604502,10.5056045,mM,Calcium,54,CR02,GC02,57.5,
0.985421687,20,955.858,969.9989485,10.50998949,mM,Calcium,57,CR02,GC02,60.5,
0.968433735,35,967.528,967.528,10.51528,mM,Calcium,60,CR02,GC02,63.5,
1.006987952,26,950.409,950.409,10.50409,mM,Calcium,63,CR02,GC02,66.5,
0.921445783,23,897.999,974.5543541,10.51554354,mM,Calcium,66,CR02,GC02,69.5,
0.979638554,19,947.487,967.1801869,10.51180187,mM,Calcium,69,CR02,GC02,72.5,
0.994698795,22,938.525,943.526829,10.51526829,mM,Calcium,72,CR02,GC02,75.5,
0.978072289,36,971.969,971.969,10.51969,mM,Calcium,81,CR02,GC02,84.5,
0.960843373,18,959.788,959.788,10.50788,mM,Calcium,84,CR02,GC02,87.5,
1.001325301,27,962.2786,961.0049789,10.52004979,mM,Calcium,87,CR02,GC02,90.5,
1.042192771,21,1030.1518,988.446503,10.51446503,mM,Calcium,90,CR02,GC02,93.5,
0.967108434,17,950.7007,983.0342357,10.52034236,mM,Calcium,96,CR02,GC02,99.5,
0.901301205,52,862.2765,956.7018167,10.51701817,mM,Calcium,99,CR02,GC02,102.5,
1.123036145,51,1082.5457,963.9455553,10.52945555,mM,Calcium,102,CR02,GC02,105.5,
0.942168675,46,968.522,968.522,10.52522,mM,Calcium,111,CR02,GC02,114.5,
1.060722892,49,1020.4135,961.9981883,10.52498188,mM,Calcium,114,CR02,GC02,117.5,
0.941783133,50,910.2429,966.5100898,10.5351009,mM,Calcium,123,CR02,GC02,126.5,
0.992575301,a,101.2963008,102.0540212,10.47540212,mM,Calcium,5,CR03,GC04,11,
0.857153614,b,87.49132336,102.0719296,10.47719296,mM,Calcium,10,CR03,GC04,16,
0.971611446,c,98.72180688,101.6062618,10.48062618,mM,Calcium,15,CR03,GC04,21,
0.954503012,d,96.85035552,101.4667888,10.49667888,mM,Calcium,20,CR03,GC04,26,
0.871370482,e,88.610244,101.6906653,10.48906653,mM,Calcium,25,CR03,GC04,31,
0.99185241,60,102.1731067,103.0124096,10.50124096,mM,Calcium,30,CR03,GC04,36,
0.839081325,64,87.89699312,104.7538426,10.51538426,mM,Calcium,35,CR03,GC04,41,
0.999563253,83,102.3411002,102.3858169,10.50858169,mM,Calcium,40,CR03,GC04,46,
0.967274096,73,98.52474192,101.8581416,10.50581416,mM,Calcium,45,CR03,GC04,51,
0.989683735,62,99.3866792,100.422666,10.5022666,mM,Calcium,50,CR03,GC04,56,
0.989201807,68,102.4627123,103.5812021,10.50812021,mM,Calcium,55,CR03,GC04,61,
0.799563253,81,82.36741248,103.0155052,10.50155052,mM,Calcium,60,CR03,GC04,66,
0.992575301,78,104.563629,105.3457897,10.50457897,mM,Calcium,65,CR03,GC04,71,
1.000045181,76,105.4544158,105.4496515,10.50496515,mM,Calcium,70,CR03,GC04,76,
0.981009036,77,105.3962728,107.4365973,10.51365973,mM,Calcium,80,CR03,GC04,86,
0.999804217,61,81.8572184,81.8732478,10.50732478,mM,Calcium,85,CR03,GC04,91,
0.999563253,f,156.7001822,156.7686505,10.50686505,mM,Calcium,90,CR03,GC04,96,
0.920286145,53,98.05760032,106.5512079,10.50512079,mM,Calcium,95,CR03,GC04,101,
0.99378012,58,141.2425666,142.1265767,10.51265767,mM,Calcium,100,CR03,GC04,106,
0.908237952,67,110.0299624,121.1466248,10.51466248,mM,Calcium,110,CR03,GC04,116,
0.799322289,69,86.2368096,107.8874076,10.50874076,mM,Calcium,110,CR03,GC04,116,
0.997153614,70,105.0329898,105.3328075,10.50328075,mM,Calcium,110,CR03,GC04,116,
1.09060241,71,90.386007,102.0102605,10.50102605,mM,Calcium,110,CR03,GC04,116,
1.113012048,72,90.18890412,99.64563505,10.50456351,mM,Calcium,115,CR03,GC04,121,
1.130843373,80,92.51244384,100.5293573,10.51293573,mM,Calcium,120,CR03,GC04,126,
1.102409639,65,91.42711452,102.0295866,10.51795866,mM,Calcium,130,CR03,GC04,136,
1.098795181,75,89.76521716,100.5196037,10.51196037,mM,Calcium,135,CR03,GC04,141,
1.096144578,74,89.44871542,100.4185327,10.51185327,mM,Calcium,140,CR03,GC04,146,
1.086987952,56,88.70389396,100.4601525,10.51101525,mM,Calcium,150,CR03,GC04,156,
1.110843373,66,93.04794878,103.014269,10.5114269,mM,Calcium,155,CR03,GC04,161,
1.065060241,54,908.4364403,94.37296554,10.51729655,mM,Calcium,160,CR03,GC04,166,
1.104337349,57,948.4041447,94.84041447,10.51404145,mM,Calcium,170,CR03,GC04,176,
1.00313253,59,917.027073,101.8073982,10.51073982,mM,Calcium,175,CR03,GC04,181,
0.910361446,55,720.2789695,93.68344637,10.51834464,mM,Calcium,180,CR03,GC04,186,
1.10746988,84,956.3304774,106.8281199,10.52281199,mM,Calcium,195,CR03,GC04,201,
1.071325301,85,999.6969304,106.8547432,10.52547432,mM,Calcium,195,CR03,GC04,201,
1.210120482,86,944.159932,102.990241,10.5190241,mM,Calcium,195,CR03,GC04,201,
0.769879518,87,609.4721162,92.42524601,10.5225246,mM,Calcium,195,CR03,GC04,201,
1.100240964,82,966.3045623,98.12719146,10.52271915,mM,Calcium,200,CR03,GC04,206,
0.965542169,109,111.6115929,115.5947368,10.5481723,mM,Calcium,5,CR4.5,GC06,11,
1.018795181,103,115.6937722,113.5594027,10.55460834,mM,Calcium,10,CR4.5,GC06,16,
0.996626506,126,109.6924088,110.0637081,10.57461033,mM,Calcium,15,CR4.5,GC06,21,
1.040722892,123,114.8691135,110.3743508,10.60594317,mM,Calcium,20,CR4.5,GC06,26,
0.988433735,113,108.9175824,110.1920933,10.63755984,mM,Calcium,25,CR4.5,GC06,31,
0.97253012,89,106.4603492,109.4674056,10.65446454,mM,Calcium,30,CR4.5,GC06,36,
0.961445783,125,106.7750945,111.0568026,10.64477836,mM,Calcium,35,CR4.5,GC06,41,
1.002650602,117,112.5220462,112.2245834,10.66083694,mM,Calcium,40,CR4.5,GC06,46,
1.003373494,107,116.0338795,115.643756,10.65138749,mM,Calcium,45,CR4.5,GC06,51,
0.898795181,97,104.9121823,116.7253502,10.66048201,mM,Calcium,50,CR4.5,GC06,56,
0.999277108,90,115.0176195,115.1008249,10.66662499,mM,Calcium,55,CR4.5,GC06,61,
0.917831325,119,108.0045532,117.6736403,10.67613087,mM,Calcium,65,CR4.5,GC06,71,
0.998795181,111,118.3401613,118.4829118,10.66775768,mM,Calcium,70,CR4.5,GC06,76,
0.983855422,102,115.039613,116.9273559,10.66085722,mM,Calcium,75,CR4.5,GC06,81,
1.025301205,112,121.4034735,118.4076181,10.67016321,mM,Calcium,80,CR4.5,GC06,86,
0.984698795,118,116.5416915,118.3526293,10.67461679,mM,Calcium,85,CR4.5,GC06,91,
0.958313253,108,111.7390376,116.5996998,10.67780834,mM,Calcium,90,CR4.5,GC06,96,
0.982168675,124,114.9019416,116.9879926,10.66697331,mM,Calcium,95,CR4.5,GC06,101,
0.979879518,100,114.3587765,116.7069771,10.67862881,mM,Calcium,100,CR4.5,GC06,106,
0.988433735,92,113.5862256,114.9153672,10.67791888,mM,Calcium,105,CR4.5,GC06,111,
