ID,Compound,Conc_nM,Core,Depth_cm,Real_depth_cm
42,Sulfite,14.52481065,GC02,3,6.5
43,Sulfite,16.33831678,GC02,12,15.5
40,Sulfite,21.18430346,GC02,15,18.5
45,Sulfite,7.867032304,GC02,18,21.5
39,Sulfite,21.17914071,GC02,21,24.5
33,Sulfite,21.74829966,GC02,24,27.5
37,Sulfite,34.49644519,GC02,27,30.5
25,Sulfite,32.07670028,GC02,30,33.5
32,Sulfite,16.33996216,GC02,33,36.5
41,Sulfite,6.655988031,GC02,36,39.5
31,Sulfite,12.10078072,GC02,39,42.5
44,Sulfite,18.15387648,GC02,42,45.5
38,Sulfite,14.5174229,GC02,45,48.5
24,Sulfite,6.656912772,GC02,48,51.5
29,Sulfite,21.78249201,GC02,51,54.5
28,Sulfite,44.17883531,GC02,54,57.5
20,Sulfite,67.15734612,GC02,57,60.5
35,Sulfite,69.60980325,GC02,60,63.5
26,Sulfite,85,GC02,63,66.5
23,Sulfite,77.46214461,GC02,66,69.5
19,Sulfite,70.84938263,GC02,69,72.5
22,Sulfite,63.53796318,GC02,72,75.5
34,Sulfite,100,GC02,78,81.5
36,Sulfite,89.59624519,GC02,81,84.5
18,Sulfite,87.42168197,GC02,84,87.5
27,Sulfite,95,GC02,87,90.5
21,Sulfite,79.88606508,GC02,90,93.5
30,Sulfite,72.01124703,GC02,93,96.5
17,Sulfite,98.7,GC02,96,99.5
52,Sulfite,41.15475315,GC02,99,102.5
51,Sulfite,30.25540156,GC02,102,105.5
47,Sulfite,52.64616553,GC02,105,108.5
48,Sulfite,49.97167358,GC02,108,111.5
46,Sulfite,47.19913677,GC02,111,114.5
49,Sulfite,32.68366607,GC02,114,117.5
50,Sulfite,19.97115494,GC02,123,126.5
a,Sulfite,37.51737392,GC04,5,11
b,Sulfite,24.80713144,GC04,10,16
C,Sulfite,14.52042699,GC04,15,21
d,Sulfite,179.0111466,GC04,20,26
e,Sulfite,75.61837389,GC04,25,31
60,Sulfite,58.4,GC04,30,36
64,Sulfite,50.6,GC04,35,41
83,Sulfite,47.80721305,GC04,40,46
73,Sulfite,53.5,GC04,45,51
62,Sulfite,56.2779941,GC04,50,56
68,Sulfite,55.04663869,GC04,55,61
81,Sulfite,62.29288707,GC04,60,66
78,Sulfite,57.23692202,GC04,65,71
76,Sulfite,53.24978568,GC04,70,76
77,Sulfite,62.32869944,GC04,80,86
61,Sulfite,52.05372108,GC04,85,91
f,Sulfite,43.18870101,GC04,90,96
53,Sulfite,46.55561339,GC04,95,101
58,Sulfite,28.44157553,GC04,100,106
70,Sulfite,26.0229055,GC04,110,116
72,Sulfite,32.0499553,GC04,115,121
80,Sulfite,53.2407215,GC04,120,126
65,Sulfite,26.02408725,GC04,130,136
75,Sulfite,27.83780716,GC04,135,141
74,Sulfite,76.84863529,GC04,140,146
56,Sulfite,60.5,GC04,150,156
66,Sulfite,55.65447587,GC04,155,161
54,Sulfite,52.98928197,GC04,160,166
57,Sulfite,53.86358875,GC04,170,176
59,Sulfite,53.28662892,GC04,175,181
55,Sulfite,42.35888116,GC04,180,186
88,Sulfite,41.3,GC04,185,191
63,Sulfite,47.7,GC04,190,196
85,Sulfite,51.44787228,GC04,195,201
82,Sulfite,89.56354108,GC04,200,206
109,Sulfite,26.6252702,GC06,5,11
103,Sulfite,35.09913968,GC06,10,16
126,Sulfite,23.60218361,GC06,15,21
123,Sulfite,13.31400982,GC06,20,26
113,Sulfite,51.4279353,GC06,25,31
89,Sulfite,36.30766468,GC06,30,36
125,Sulfite,36.90107572,GC06,35,41
117,Sulfite,23.60239147,GC06,40,46
107,Sulfite,19.97367567,GC06,45,51
97,Sulfite,22.2918144,GC06,50,56
119,Sulfite,25.4,GC06,65,71
111,Sulfite,28.44576275,GC06,70,76
102,Sulfite,45.12837775,GC06,75,81
112,Sulfite,65.35325399,GC06,80,86
118,Sulfite,83.60117477,GC06,85,91
108,Sulfite,125.2409586,GC06,90,96
124,Sulfite,72.99408236,GC06,95,101
100,Sulfite,63.53988448,GC06,100,106
92,Sulfite,80.46854231,GC06,105,111
90,Sulfite,61.75184874,GC06,108,114
114,Sulfite,50.25364712,GC06,110,116
98,Sulfite,43.91875572,GC06,115,121
104,Sulfite,49.61634086,GC06,120,126
120,Sulfite,51.81551679,GC06,125,131
122,Sulfite,56.94590328,GC06,130,136
106,Sulfite,63.53764205,GC06,135,141
105,Sulfite,147.5033073,GC06,140,146
116,Sulfite,123.880916,GC06,145,151
110,Sulfite,87.7516674,GC06,150,156
96,Sulfite,57.48964185,GC06,155,161
121,Sulfite,49.62529409,GC06,160,166
115,Sulfite,55.07197271,GC06,165,171
91,Sulfite,45.99431924,GC06,170,176
101,Sulfite,43.88900643,GC06,175,181
99,Sulfite,61.71108439,GC06,180,186
3,Sulfite,0,MC01,3,3
4,Sulfite,0,MC01,4,4
5,Sulfite,19.96975776,MC01,5,5
6,Sulfite,12.10337035,MC01,6,6
8,Sulfite,10.41,MC01,8,8
7,Sulfite,12.71804455,MC01,10,10
9,Sulfite,33.87,MC01,12,12
11,Sulfite,44.176594,MC01,18,18
12,Sulfite,27.23484159,MC01,20,20
13,Sulfite,64.7441378,MC01,23,23
14,Sulfite,71.40876924,MC01,27,27
15,Sulfite,119.1588934,MC01,31,31
16,Sulfite,36.30538761,MC01,36,36
42,Thiosulfate,6.052004439,GC02,3,6.5
43,Thiosulfate,5.446105592,GC02,12,15.5
40,Thiosulfate,2.421063252,GC02,15,18.5
45,Thiosulfate,10.28765763,GC02,18,21.5
39,Thiosulfate,8.85,GC02,21,24.5
33,Thiosulfate,10.87414983,GC02,24,27.5
37,Thiosulfate,12.75,GC02,27,30.5
25,Thiosulfate,10.89397368,GC02,30,33.5
32,Thiosulfate,9.9867,GC02,33,36.5
41,Thiosulfate,13.31197606,GC02,36,39.5
31,Thiosulfate,5.445351324,GC02,39,42.5
44,Thiosulfate,2.420516864,GC02,42,45.5
38,Thiosulfate,7.863604069,GC02,45,48.5
24,Thiosulfate,3.025869442,GC02,48,51.5
29,Thiosulfate,7.865899892,GC02,51,54.5
28,Thiosulfate,12.1037905,GC02,54,57.5
20,Thiosulfate,4.235147954,GC02,57,60.5
35,Thiosulfate,10.26513185,GC02,60,63.5
26,Thiosulfate,12.70587626,GC02,63,66.5
23,Thiosulfate,5.446557043,GC02,66,69.5
